rank,priority_tier,ticker,company,market_country,asset_pool,bfs_depth,module,current_pool,total_score,score_bucket,verification_status,source_priority,primary_sources_to_find,metrics_to_verify,upgrade_conditions,downgrade_conditions,evidence_state,counterevidence,dependency_path,dependency_edge,etf_clue,smart_money_clue
119,P3_deep_radar,SOIT.PA,Soitec,欧洲,卫星资产池,D4,SOI/SmartSiC substrate,雷达/候选池,60,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,AI相关性需证明、RF/auto混杂,SiPho/RF/power devices → engineered substrates,技术边+BOM边,Europe semis ETFs,IBKR巴黎
120,P3_deep_radar,002371.SZ,北方华创,A股主板,中国资产池,D4,Semiconductor equipment,候选/雷达池,58,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / earnings call / investor presentation / product roadmap,HBM revenue or mix; capacity plan; ASP/margin; customer qualification; HBM3E/HBM4 roadmap,"Company filings prove AI/HBM revenue mix, capacity tightness, improving margin, and multi-customer demand.","HBM exposure is not disclosed, demand is commodity DRAM recovery, or capacity additions point to fast oversupply.",待原文核验,AI直接度弱、政策/周期,AI chips/HBM/China localization → WFE demand,产能边+技术边,A股半导体ETF,公募/北向
121,P3_deep_radar,002409.SZ,雅克科技,A股主板,中国资产池,D4,Semiconductor materials,候选/雷达池,58,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / segment disclosure / capacity expansion note / technical product page,AI/HBM/CoWoS/SiPh material exposure; customer qualification; ASP; utilization; margin; capacity,"Material specification upgrade is proven to be required by HBM, CoWoS, CPO, advanced node, or AI power devices.",Exposure is broad semi cycle or consumer/industrial demand with no clear D0-D2 blocking path.,待原文核验,AI专用度待拆、周期,HBM/advanced process → materials demand → ASP/mix,BOM边+技术边,A股材料/半导体ETF,公募/北向
122,P3_deep_radar,600406.SH,国电南瑞,A股主板,中国资产池,D4,Grid automation,雷达/候选池,58,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,AI链条间接、政策周期,AI DC grid connection → grid automation/power systems → utility capex,产能边+现金流边,A股电网/央国企ETF,公募/北向
123,P3_deep_radar,6361.T,Ebara,日本,卫星资产池,D4,CMP/vacuum/fab infra,雷达/候选池,58,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / segment disclosure / capacity expansion note / technical product page,AI/HBM/CoWoS/SiPh material exposure; customer qualification; ASP; utilization; margin; capacity,"Material specification upgrade is proven to be required by HBM, CoWoS, CPO, advanced node, or AI power devices.",Exposure is broad semi cycle or consumer/industrial demand with no clear D0-D2 blocking path.,待原文核验,AI间接、周期,fab/HBM capex → CMP/vacuum/UPW-adjacent demand,产能边,Japan industrial/semis ETFs,IBKR日本通常可达
124,P3_deep_radar,6920.T,Lasertec,日本,卫星资产池,D4,Mask inspection/metrology,候选/雷达池,58,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / earnings call / investor presentation / product and application pages,AI/HBM tester demand; SoC vs memory tester mix; probe/socket orders; inspection/metrology AI packaging exposure; margin,"Original sources prove HBM, AI accelerator, or advanced packaging complexity is increasing test or inspection revenue.",Revenue is broad semi-cycle recovery with no AI/HBM/advanced packaging mix or order evidence.,待原文核验,AI间接、WFE周期,leading-edge AI chips → EUV mask/process control,技术边,Japan/semis ETFs,IBKR日本通常可达
125,P3_deep_radar,AIXA.DE,Aixtron,欧洲,卫星资产池,D4,Compound semi equipment,雷达/候选池,58,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,AI链条间接、LED/power周期,InP/GaN/SiC photonics/power → MOCVD equipment,产能边+技术边,Europe semis ETFs,IBKR德国
126,P3_deep_radar,ASM.AS,ASM International,欧洲,卫星资产池,D4,ALD/deposition,候选/雷达池,58,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / earnings call / investor presentation / product roadmap,HBM revenue or mix; capacity plan; ASP/margin; customer qualification; HBM3E/HBM4 roadmap,"Company filings prove AI/HBM revenue mix, capacity tightness, improving margin, and multi-customer demand.","HBM exposure is not disclosed, demand is commodity DRAM recovery, or capacity additions point to fast oversupply.",待原文核验,WFE周期、AI间接,advanced nodes/HBM → deposition demand,产能边+技术边,SMH? Europe semis ETFs,IBKR欧洲
127,P3_deep_radar,ENR.DE,Siemens Energy,欧洲,卫星资产池,D4,Grid/power equipment,候选/雷达池,58,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,非AI需求混杂、项目周期,AI DC power scarcity → grid/turbine equipment → backlog,产能边+现金流边,GRID/infra/energy ETFs,IBKR德国
128,P3_deep_radar,VATN.SW,VAT Group,欧洲,卫星资产池,D4,Vacuum valves,雷达/候选池,58,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / segment disclosure / capacity expansion note / technical product page,AI/HBM/CoWoS/SiPh material exposure; customer qualification; ASP; utilization; margin; capacity,"Material specification upgrade is proven to be required by HBM, CoWoS, CPO, advanced node, or AI power devices.",Exposure is broad semi cycle or consumer/industrial demand with no clear D0-D2 blocking path.,待原文核验,AI链条间接、WFE周期,fab/WFE expansion → vacuum valve demand,BOM边+产能边,Swiss/industrial ETFs,IBKR瑞士
129,P3_deep_radar,GEV,GE Vernova,US,美国资产池,D4,Grid + gas turbines,雷达/候选池,58,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,项目周期长、非AI需求混杂,AI DC power scarcity → turbines/grid equipment → backlog,产能边+现金流边,GRID/infrastructure/energy ETFs,13F工业/能源
130,P3_deep_radar,601179.SH,中国西电,A股主板,中国资产池,D4,Transformer/switchgear,雷达池,56,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,AI直接证据弱,DC/grid power demand → transformer/switchgear orders,产能边,A股电力设备ETF,公募/北向
131,P3_deep_radar,1347.HK,华虹半导体,H股,中国资产池,D4,Specialty foundry,雷达池,52,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,AI直接度弱、成熟制程周期,power/MCU/AI-adjacent chips → specialty foundry,客户边+反证边,HK/China semis ETF,港股通；A股688347同集团但A端排除
132,P3_deep_radar,603690.SH,至纯科技,A股主板,中国资产池,D4,Wet process / high-purity systems,雷达池,52,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / earnings call / investor presentation / company product page,AI-related revenue; orders/backlog; capacity; gross margin; customer concentration; technical roadmap,Original sources prove direct D1-D3 dependency and visible financial translation.,"Dependency remains a narrative mapping, lacks revenue/order evidence, or counterevidence dominates.",待原文核验,AI间接、周期,fab expansion → wet/high-purity systems → orders,产能边,A股半导体设备ETF,公募/北向
133,P3_deep_radar,6368.T,Organo,日本,卫星资产池,D4,UPW systems,雷达池,52,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / segment disclosure / capacity expansion note / technical product page,AI/HBM/CoWoS/SiPh material exposure; customer qualification; ASP; utilization; margin; capacity,"Material specification upgrade is proven to be required by HBM, CoWoS, CPO, advanced node, or AI power devices.",Exposure is broad semi cycle or consumer/industrial demand with no clear D0-D2 blocking path.,待原文核验,AI链条间接、项目周期,fab/data center? expansion → ultrapure water systems,产能边,Japan small/mid ETFs,IBKR日本通常可达
134,P3_deep_radar,BE,Bloom Energy,US,美国资产池,D4-D5,On-site power / fuel cells,雷达/候选池,50,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.","待原文核验: DC contract economics, fuel costs",燃料成本、技术/规模验证、监管,AI DC time-to-power → on-site generation → power contract revenue,客户边+产能边+反证边,clean energy/AI infra/nuclear adj ETFs,13F thematic/options
135,P3_deep_radar,600089.SH,特变电工,A股主板,中国资产池,D4-D5,Transformer/power equipment + energy,雷达池,46,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,能源/硅料周期混杂、AI间接,AI DC grid/electricity demand → transformer/grid equipment,产能边+反证边,A股电力/能源ETF,公募/北向
136,P3_deep_radar,CCJ,Cameco,US,美国资产池,D4-D5,Uranium,雷达池,46,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,AI相关性间接，商品周期,AI DC power narrative → nuclear fuel demand → uranium cycle,现金流边+反证边,URA/NLR/nuclear ETFs,13F能源/uranium
137,P3_deep_radar,LEU,Centrus Energy,US,美国资产池,D4-D5,Nuclear fuel / HALEU,雷达池,42,radar,pending_original_source_verification,Low-priority radar; defer until higher-confidence D1-D3 evidence is processed.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验: contracts/regulatory milestones,AI链条很间接、监管/项目周期长,AI power narrative → nuclear restart/SMR → fuel/enrichment demand,技术边+反证边,URA/nuclear ETFs,13F小盘主题
138,P4_excluded_or_hold,300249.SZ,依米康,A股创业板,中国资产池,D3-D4,Cooling/IDC,排除池,0,exclude,pending_original_source_verification,Only revisit if universe rules change or original sources contradict exclusion.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",产业相关但因创业板排除,板块规则排除+AI证据需核验,AI DC cooling narrative,交易规则排除+反证边,A股数据中心ETF,主题资金
139,P4_excluded_or_hold,300308.SZ,中际旭创,A股创业板,中国资产池,D2-D3,Optical modules,排除池,0,exclude,pending_original_source_verification,Only revisit if universe rules change or original sources contradict exclusion.,10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",产业相关但因创业板排除；如用非A通道需另核验,板块规则排除，不进中国A主板池,AI cluster → 800G/1.6T optics,交易规则排除+客户边,A股光模块ETF,公募/北向
140,P4_excluded_or_hold,300394.SZ,天孚通信,A股创业板,中国资产池,D3,Optical components,排除池,0,exclude,pending_original_source_verification,Only revisit if universe rules change or original sources contradict exclusion.,10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",产业相关但因创业板排除,板块规则排除,AI optics → components/FAU → revenue,交易规则排除+BOM边,A股光模块ETF,公募/北向
141,P4_excluded_or_hold,300476.SZ,胜宏科技,A股创业板,中国资产池,D3,PCB,排除池,0,exclude,pending_original_source_verification,Only revisit if universe rules change or original sources contradict exclusion.,annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,产业相关但因创业板排除,板块规则排除,AI server PCB → high-speed PCB demand,交易规则排除+BOM边,A股PCB ETF,公募/北向
142,P4_excluded_or_hold,300502.SZ,新易盛,A股创业板,中国资产池,D2-D3,Optical modules,排除池,0,exclude,pending_original_source_verification,Only revisit if universe rules change or original sources contradict exclusion.,10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",产业相关但因创业板排除,板块规则排除,AI cluster → optical transceivers,交易规则排除+BOM边,A股光模块ETF,公募/北向
143,P4_excluded_or_hold,300666.SZ,江丰电子,A股创业板,中国资产池,D4,Semiconductor materials,排除池,0,exclude,pending_original_source_verification,Only revisit if universe rules change or original sources contradict exclusion.,annual report / segment disclosure / capacity expansion note / technical product page,AI/HBM/CoWoS/SiPh material exposure; customer qualification; ASP; utilization; margin; capacity,"Material specification upgrade is proven to be required by HBM, CoWoS, CPO, advanced node, or AI power devices.",Exposure is broad semi cycle or consumer/industrial demand with no clear D0-D2 blocking path.,产业相关但因创业板排除,板块规则排除,fab/HBM process → sputtering targets,交易规则排除+BOM边,A股材料ETF,公募/北向
144,P4_excluded_or_hold,603986.SH,兆易创新,A股主板,中国资产池,D4-D5,Memory/MCU,排除/雷达池,0,exclude,pending_original_source_verification,Only revisit if universe rules change or original sources contradict exclusion.,annual report / quarterly results / earnings call / investor presentation / product roadmap,HBM revenue or mix; capacity plan; ASP/margin; customer qualification; HBM3E/HBM4 roadmap,"Company filings prove AI/HBM revenue mix, capacity tightness, improving margin, and multi-customer demand.","HBM exposure is not disclosed, demand is commodity DRAM recovery, or capacity additions point to fast oversupply.",待原文核验,与LLM infra距离远、消费周期,AI edge/storage theme → memory/MCU demand?,反证边+BOM边,A股半导体ETF,公募/北向
145,P4_excluded_or_hold,688008.SH,澜起科技,A股科创板,中国资产池,D3,Memory interface/CXL,排除池,0,exclude,pending_original_source_verification,Only revisit if universe rules change or original sources contradict exclusion.,annual report / quarterly results / earnings call / investor presentation / product roadmap,HBM revenue or mix; capacity plan; ASP/margin; customer qualification; HBM3E/HBM4 roadmap,"Company filings prove AI/HBM revenue mix, capacity tightness, improving margin, and multi-customer demand.","HBM exposure is not disclosed, demand is commodity DRAM recovery, or capacity additions point to fast oversupply.",产业相关但因科创板排除,板块规则排除,AI server memory → interface chip/CXL,交易规则排除+技术边,A股半导体ETF,公募/北向
146,P4_excluded_or_hold,688012.SH,中微公司,A股科创板,中国资产池,D4,Semiconductor equipment,排除池,0,exclude,pending_original_source_verification,Only revisit if universe rules change or original sources contradict exclusion.,annual report / quarterly results / earnings call / investor presentation / company product page,AI-related revenue; orders/backlog; capacity; gross margin; customer concentration; technical roadmap,Original sources prove direct D1-D3 dependency and visible financial translation.,"Dependency remains a narrative mapping, lacks revenue/order evidence, or counterevidence dominates.",产业相关但因科创板排除,板块规则排除,AI semis/fab capex → etch/MOCVD,交易规则排除+产能边,A股半导体ETF,公募/北向
147,P3_deep_radar,BX,Blackstone,US,美国资产池,D4,AI data center credit / real estate / infra financing,雷达池,70,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / investor day / AUM disclosures,"AI data center exposure ($), private credit AI book, fee-related earnings growth","Filings disclose explicit AI/data-center fund sizes, fee yields, deployment pace.","Rates rise, distressed credit migrations, slowing fundraising.",待原文核验: 数据中心/AI 投资敞口 + private credit AI exposure,传统房地产/PE 周期、利率敏感、估值贴现,AI capex demand → data center / REIT financing → Blackstone funds,现金流边+资本边,XLF / private markets ETFs,13F / fund flows
148,P3_deep_radar,BLK,BlackRock,US,美国资产池,D5,Macro capital allocation / infra ETFs / power-grid funds,雷达池,65,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / investor day / AUM disclosures,"Infrastructure AUM, AI-themed ETF flows, GIP earnings",Filings show direct AI-infra fund / private-markets revenue lift.,"Equity beta drawdown, fee compression accelerates.","待原文核验: AI/infra fund flows, GIP integration revenue","passive fee compression, AUM beta dominates",Global AI buildout → infra/energy capital allocation → BlackRock AUM,资本边,BLK is itself in XLF; infra ETFs e.g. PAVE,ETF flow / 13F
149,P2_radar_if_blocks_d2,QCOM,Qualcomm,US,美国资产池,D3-D4,Edge AI / mobile / auto / connectivity silicon,雷达池,75,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / earnings call / investor presentation / product roadmap,"Auto segment revenue, AI PC chip wins, datacenter inference traction",Filings disclose AI-accelerator revenue / datacenter qualifications.,"Apple modem in-house, Snapdragon datacenter delayed.","待原文核验: edge AI revenue mix, auto/IoT growth, AI 100 Ultra traction","smartphone cycle, Apple modem in-housing, ASIC替代 in edge",Edge inference + connectivity → mobile/auto/IoT AI silicon,客户边+技术边,SMH / SOXX / AIQ,13F large-cap semis
150,P0_first_batch,CBRS,Cerebras Systems,US,美国资产池,D1,Wafer-scale AI accelerator (WSE-3),核心候选,95,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.","S-1 / 10-K / IPO prospectus / quarterly results / customer announcements (AWS, G42)","Revenue concentration, wafer cost, MemoryX attach, datacenter capacity",Direct customer disclosures + S-1 backlog visibility prove durable demand.,"TSMC allocation cap, AWS partnership churn, lockup expiry waves.","待原文核验: S-1/10-K customer concentration, AWS partner revenue split, TSMC wafer allocation",IPO 估值、客户集中、TSMC supply 无 long-term commitment、wafer-scale 良率,LLM training/inference → wafer-scale compute → WSE-3 + MemoryX system,客户边+技术边+BOM边,AIQ / IPO ETFs,IPO 13F / lockup tracking
151,P0_first_batch,DELL,Dell Technologies,US,美国资产池,D2,AI server channel / Cerebras-Dell systems / EPYC PowerEdge,核心候选,88,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / earnings call / investor presentation / product roadmap,"AI server revenue, ISG margin, Cerebras solution wins, backlog",Filings break out AI server / Cerebras-related revenue with margin uplift.,"Hyperscaler in-housing, OEM commoditisation, inventory glut.","待原文核验: ISG AI server revenue mix, Cerebras-Dell joint solution traction, backlog conversion",GPU pass-through 毛利低、客户集中 hyperscaler、ASP 压力,AI cluster demand → AI server OEM channel → Dell PowerEdge + Cerebras systems,客户边+BOM边+渠道边,XLK / VGT / AIQ,13F AI hardware
152,P1_d1_d3_followup,BTBT,Bit Digital,US,美国资产池,D2,Inference data center colo (Enovum Montreal CS-3 host),候选池,78,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K / 10-Q / Enovum press releases / data center contract filings,"Enovum contracted MW, AI revenue %, customer concentration, capex per MW",Filings disclose multi-year HPC contract size and utilisation.,"Mining cycle drags margins, Enovum churn, capex outruns funding.","待原文核验: Enovum MW contracted, CS-3 customer, lease length, gross margin","small-cap balance sheet, BTC mining residual revenue, contract concentration",AI inference capacity → Enovum colo → CS-3 deployments,客户边+产能边+现金流边,small-cap crypto/AI ETFs,active small-cap funds
153,P2_radar_if_blocks_d2,AMAT,Applied Materials,US,美国资产池,D3,WFE / deposition / materials engineering,雷达池,78,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / earnings call / investor presentation / product roadmap,"Leading-edge bookings, services growth, AGS attach, gross margin",Disclosures tie new bookings to advanced-node AI capacity.,"Geopolitical tightening, ICAPS rolling over.","待原文核验: AI/HPC mix, ICAPS vs leading-edge split, services attach",中国出口管制、ICAPS 周期、客户集中,Leading-edge capacity → WFE deposition/CMP → AMAT bookings,产能边+技术边,SMH / SOXX,large-cap semi cap 13F
154,P2_radar_if_blocks_d2,LRCX,Lam Research,US,美国资产池,D3,Etch / deposition WFE,雷达池,76,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / earnings call / investor presentation / product roadmap,"HBM/advanced packaging revenue, China mix, gross margin",HBM tool growth disclosed; non-China leading-edge bookings expand.,"China restrictions widen, NAND cycle drags.","待原文核验: HBM tool mix, China revenue, services growth",中国占比、NAND 周期、客户集中,HBM / advanced packaging / leading-edge → etch + deposition → LRCX,产能边+技术边,SMH / SOXX,13F semis
155,P2_radar_if_blocks_d2,KLAC,KLA Corporation,US,美国资产池,D3,Wafer inspection / metrology / process control,雷达池,78,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / earnings call / investor presentation / product roadmap,"Advanced packaging revenue, process control share, services attach",Wafer-scale yield narrative drives inspection capex.,"Leading-edge delays, China limits, service-attach pause.","待原文核验: advanced packaging inspection growth, HBM/CoWoS process control",客户集中 TSMC、China exposure、process node 延迟,Wafer-scale / advanced packaging yield → inspection/metrology → KLAC,产能边+技术边,SMH / SOXX,13F quality semis
156,P3_deep_radar,SIE.DE,Siemens,欧洲,卫星资产池,D4,Siemens EDA + industrial automation,雷达池,60,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",Annual report / capital markets day / Siemens EDA briefings,"DI EDA revenue, AI factory wins, services attach",EDA segment grows on AI design wins.,"Industrial weakness, FX drag.","待原文核验: EDA AI exposure, AI factory automation revenue","industrial cycle, broad conglomerate, slow disclosures",EDA + industrial AI/automation → Siemens EDA + DI segments,技术边,Europe industrial ETFs,European institutional flows
157,P3_deep_radar,SNDK,Sandisk,US,美国资产池,D3,Enterprise NAND / eSSD supplier,雷达池,62,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K / 10-Q / earnings call / eSSD roadmap,"eSSD revenue, QLC mix, gross margin","AI eSSD ramp visible in earnings, ASP rises.","NAND oversupply, customer concentration drops orders.","待原文核验: eSSD mix, hyperscaler qualifications",NAND 周期、QLC 转换风险、客户集中,AI server storage attach → enterprise NAND/SSD → Sandisk,BOM边,SMH / storage adjacent,storage 13F
158,P3_deep_radar,4063.T,Shin-Etsu Chemical,日本,卫星资产池,D4,Silicon wafers / photoresist,雷达池,60,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",Annual report / quarterly results / capital markets briefing,"Silicon wafer revenue, EUV resist share, gross margin",EUV resist share gains in disclosures.,"PVC drag, FX hit.","待原文核验: leading-edge wafer share, EUV resist traction","PVC/chemicals cycle, FX, customer concentration",TSMC leading-edge → 300mm wafers + photoresist → Shin-Etsu,BOM边+产能边,Japan / SMH,Japan funds / IBKR JP
159,P3_deep_radar,3436.T,SUMCO,日本,卫星资产池,D4,300mm silicon wafers,雷达池,55,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",Annual report / earnings call / capacity briefing,"Utilisation, LTA pricing, capex pace",Utilisation recovers; LTA renewals favourable.,"Wafer oversupply, ASP drops.","待原文核验: utilisation, long-term agreements","wafer oversupply, memory cycle",Leading-edge logic + memory → 300mm wafers → SUMCO,BOM边+产能边,Japan / SMH,Japan funds
160,P3_deep_radar,6488.TW,GlobalWafers,台湾,卫星资产池,D4,300mm silicon wafers (TW + Siltronic deal history),雷达池,55,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",Annual report / capex updates / customer LTAs,"LTA value, utilisation, Texas/Korea capex progress",LTAs renew higher pricing; US fab ramp on schedule.,"LTAs lapse, capex overruns.","待原文核验: LTA disclosures, US capex execution","wafer oversupply, geopolitical",Leading-edge fab demand → 300mm wafers → GlobalWafers,BOM边+产能边,Taiwan semi,IBKR TW / regional funds
161,P3_deep_radar,WAF.DE,Siltronic,欧洲,卫星资产池,D4,300mm silicon wafers (Europe),雷达池,50,radar_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",Annual report / capacity report,"Utilisation, Singapore ramp, LTAs",Singapore ramp ahead of schedule.,"Utilisation drops, ASP under pressure.","待原文核验: utilisation, Singapore expansion ramp","wafer oversupply, smaller scale vs Shin-Etsu/SUMCO",Leading-edge fab demand → 300mm wafers → Siltronic,BOM边+产能边,Europe semi,European institutional
